N,SongName,SongString
32,niveau,pbbb+2b+1b-1b-2bpbbb0b+2b+1b-1b-2bpbbb0b+2b+1b-1b-2b-2b+7bb-2bb-1bb-2bbpbb0b+2b+1b-1b-2bpbbb0b+2b+1b-1b-2bpbbb0b+2b+1b-1b-2b-2b+7bb+2bb-4bb-1bbpbb-2b+2b+1b-1b-2bpbbb0b+2b+1b-1b-2bpbbb0b+2b+1b-1b-2b-2b+7bb-2bb-1bb-2bbpbb0b+2b+1b-1b-2bpbbb0b+2b+1b-1b-2bpb+10b0b0b0b0b0b0b0b0bb-7b-3bbbb
33,wishing_song,bbpbb+5bbbb-1b+1b-1bbbb-7b+3b+4bbbb-2b+2b-2bbbb-6b+1b+3bb0bbb0b0bb-2bb-1bb+1bbbbbb0bbbb-1b+1b+9bbbb-2b+2b-2bbbb-8b+1b+7bbbb-1b+1b-1bbbb-10b+1+7bb0bbb-7b+6bb0bbb-6b
34,old_eli,bb+5bb0bb-5bb+1bb+1bb0bbbb0bb+8bb0bb-8bb+7bb-2bb0bbbb-7bb+12bb0bb-3b-4b-1bb0bb0bb-1b+1b+3bb-8bb+5bb-2bb-2bbbb0bbbb0bb+5bb0bb-5bb+1bb+1bb0bbbb0bb+8bb0bb-8bb+7bb-2bb0bbbb-7bb+12bb0bb-3b-4b-4bb+1bb0bb+3b+2+2bb0bb0bbb-2b-2bbbb0bpb
35,rendezvous,pbbbbbbbbb-1b+1bb0b-1b-2b-2b+2b-2b+2bb0b-2b-2b-1b+1b-1b+1bb0b-1b-2b-2b+7bbbbbbbb+7b0b0bb0b-1b-2b-2b+2b-2b+2bb0b-2b-2b-2b+2b-2b+2bb0b-2b-1b-2b+7bbbbbbpbb+3b-1b+1bb0b-1b-2b-2b+2b-2b+2bb0b-2b-2b-1b+1b-1b+1bb0b-1b-2b-2b+9bbbbbbbb
36,mojoworkout,b0b0b0bb0b-5b+3bb+2bbpbb0bb-3b+3bb0b-5b+3bb+2bbpb-5b+3b+2bpbbbb0bb0b-5b+5bb0bb0bb0bb0b0bb0b-5b+3bb+2bbpbb-2b0b-3b+3bb0b-3b+3b-3b0b0bpb0b0b0b0b-2b-2bb-3bbbbbbbb0bbbbbbpb-1b+1b0b0b-2b+2bb0b0b0b0b0b+4b0bbb-5b+1b0b0b0b0bb0b0b0b0b0bb0bbb-1b
37,gotmymojoworking,b0b+4bb-6b-1b+1b-1b-4b0b+7bb0bb0bb-3bb-4bbbb0bbbb0bbbb0bpb+7b0b0bb-2b-1b+1b-1b-4b0b+12bb-5bb-2bb-1bb-4bbbb0bbbb0bbbb0b+4b+1b-1b+1bb0b-1b-4b+7bb-7b+7bb0bb-2bb-1bb-4bbbb0bbbb0bbbb0b+12bb0b0bb0bb-1bb+1bb0bbbb0b0bb0b0bb0bb-1bb+1bb0bbbb0b0bb0b0bb0bb-1bb+1bb0bbbb0bpb
38,ithinkaboutyoutwo,pbbbbbb0bb-1bb-2bb0bb-2bb+2bb-2bb0bb0bb+2bbbb-2bbbb0bbbbpbbbb0bb+2bb-2bb0bbbb-7bbbbpbb+12bb0bb-1bb-2bb0bb-2bbpbbbb0bb+2bbbb-2bbb0b+2bbbbpbbbb+3bb-3bb-2bb0bbbb-7bbbbpbbbb
39,muehlebachbeersmith,bb-5bb+5bb-5bb+5bb-5bb+5bb-5bb-7bb+5bbbbbbbbbb-5b+2b+1bb+2bb-3bbbbbbbb0bb-5b+1b+2bb+2bb-2bbbbbbbbbb-1b+1b+2bb-3bb-2bbbbbbbbbbbbbb-5b0b+12bbbbbbbb0bb-5b+2b+1bb+2bb-3bbbbbbbb0bb-5b+1b+2bb+2bb-2bbbbbbbbbb-1b+1b+2bb-3bb+1bbbbbbbb
40,downunder,pbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb-2bb-2bb-1b-1b-1b-1b-1bbbb+4bbbb+3bbbbpbbbbbbbb+2bbbb-2bb-2bb-1b-1b-1b-1b-1bbbbpbbbbbbbbbbbbbbbb+9bb0bb0bb0bb+1bbbb0bb0bb-1bbbb-4bbbb+4bbbb-4bbbbpbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb+4bbbb-2bb-2bb-1b-1b-1b-1b-1bbbbpbbbbbbbbbbbbbbbb+12bb0bb0bb0bb+2bbbb0bb0bb-2bbbb-3bbbb+3bbbb-3bbbb0bbbb-2bb-2bb-1b-1b-1b-1b-1bbbbpbbbbbbbbbbbbbbbb+9bb0bb0bb0bb+1bbbb0bb0bb-1bbbb-4bbbb+4bbbb-4bbbbpbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb-3b+1b+1b0bpbbbb+13bb-1bb0bbbbbbbbbbbbpbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb-14bb0bb0bb0bb+3bbbb+4bbbb-2bbbbbb-2bb-1bbbb-2bbbbpbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb+12b-2b-2b-1b-2b-2b+2b+2b+3b+2b-2b-2b+6bb-2bb0bbbbbbbbbbbbbbbbpbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb-12bb0bb0bb0bb+3bbbb+4bbbb-2bbbbbb-2bb-1bbbb-2bbbbpbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb+12b-2b-2b-1bpbbbb-2b-2b+2b+2bpbbbb+3b+2b-2b-2b+6b-2b0bbbbbbbbpbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb-12bb0bb0bb0bb+3bbbb+4bbbb-2bbbbbb-2bb-1bbbb-2bbbb+7bbbb-2bb-3bb0b-1b-1b-1b0bpbbbbbbbbbbbbbbbb+8bbbb-2bb-2bb-1b-1b-1b-1b-1bbbbpbbbbbbbb+9bb0bb0bb0bb+1bbbb0bb0bb-1bbbb-4bbbb+4bbbb-4bbbbpbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb+7bb+1bb+1bpb+1b+1b+1bb-1bbbb0bbbbbbbbbbbbbbbbpbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb-4b+2bpb-2b+2bpbb-2b+2bpbb-2b+2bpbb-2b+2b-2b+2b-2b+2b-2b+2bpbb-2b+2b-2b+2b-2b+2b-2b+2b
41,hey,bbpbb-12b+12b-2b0b-1b-2b0b0b-2b+7bbpbb-12b+9b-2b0b-2b0b-1b0b-2b+2bbbbpbbbb-4b+2b+2b+1bb+4b+1bbbbbbbbpbbbbbbbb+4bbpbb-12b+2bbbbbbbbpbb-4b+2b+2b+1bb+2b+2bbbbbbbb
42,muehlebachbeersmith,bb-5bb+5bb-5bb+5bb-5bb+5bb-5bb+5bb-5bb+5bb-5bb+5bb-5bb+5bb-5bb-7bb+12bbbbbbbbbb-5b+2b+1bb+2bb-3bbbbbbbb0bb-5b+1b+2bb+2bb-4bbbbbbbbbb-1b+1b+2bb-3bb+1bbbbbbbbbbbbbb-5b0b+12bbbbbbbb0bb-5b+2b+1bb+2bb-3bbbbbbbb0bb-5b+1b+2bb+2bb-4bbbbbbbbbb-1b+1b+2bb-3bb+1bbbbbbbb
43,lady_divine_pt2,bbbbbb-7bbbbbb+5bb0bb0bb0bb-1bb-9bb+5bbbbbb-2bb0bpb+2bbpbb-1bbpbb+1bb-2bbpbb0b+2b+7bbbbbb-2bbbb-1bb-1bbpbb-1bb-6bb+1bbpb+5b-4bbbbbb0bbbb0bb-1bbpbb+1bb-4bbpbb+1b+3b+7bbbbbb-1bbbb-2bb-2bbpbb+4bb-2bb+2bbpb-4b
44,sognonostalgico,b+8b-1bbb-2b+2b-2b+2bbbb-7b+8b-1bbb-2b+2b-2b+2bbbb-2b+8b-1bbb-2b+2b-2b0bbbbb+1b-9bbbbbbpb-3b+7b-5b+4bbbbbbpbbbbbb+3bbb-2b+2b-5b+3bb-3bbb0b-4bbb+4b+2b-2b+7bbbb0bb+1bbb-1b+1b-3b+2bb-7bb+3bb-1bbb-2b-1b+1b+2bbbbbb
45,jeanniemichele,pbb+1b+2bb0bb0bb-6bb+6bbb0b-2bb0bb0bb-6bbbb+6b0b-1bb0bb0bb0bb-2bbb-2b+2bbbbbb0bbpbb+2b+1b+2bb0bb0bb-6bb+6bbb0b-2bb0bb0bb-6bbbb+5b+1b-1bb0bb0bb0bb-4bbb+4b+3bbbbbb0bbpbb
46,perhaps,pbb+2b-2b+5b-3b-2b-3b-2bbbbbbbbpb0b+2b-2b+5bb-3bb-7bbbbbbbbpb-2b+2b+2b+3b-2b-1b+1b+7bbbbbbbbpb-5b+2b+5b-5bb-1bb+1bbbbbbbbpb+3b+2b-2b+5b-3b-2b-3b-2bbbbbbbbpb0b+2b-2b+5bb-3bb-4bbbbbbbbpb0b+2b+2b-2b-2b+2b+2b+7bbbb-2bbbbpb-9b+2b+2b+7bb0bb-4bbbbbbpbb
47,lady_divine_pt3,bbbb0bbbb+3bb-1bbpbb+1bb-2bbpbb0b+2b+7bbbbbb-2bbbb0bb+2bbbb-2bb+4bbbb-2bb-5bbbbbb0bbbb0bb-1bbbb+1bb+7bbbb-2bb-3bb+1bb-8bb+7bb-2bb-5bb+1bbbb+2bb+2bb+2bb+5bb-4bbbbbbpbb-5bb+5bbbbbb0bbbbbb
